identity,labels,catalog_id,catalog_source,description,input_format,omics,output_format,tool_id,tool_kind,tool_name,input_variants_json,input_aliases_json,exactly_one_variant
tool_id:cnvkit_cnv_clinical,Tool|tool_id,T043,senior-0811-tool-csv,对肿瘤队列的配对肿瘤/正常 WGS 或 WES BAM 运行 CNVkit，生成样本级分段、离散拷贝数、scatter/diagram 图，并可选汇总高频基因 CNV 与临床分期及总生存的探索性关联。输入为样本ID、肿瘤/正常BAM/BAI数组，输出包括CNV分段文件、BED文件、可视化图以及临床关联分析结果。,"bam, csv, tsv, txt, xls, xlsx","WGS, WES, Clinical","csv, pdf, png, tsv, txt",cnvkit_cnv_clinical,pipeline,cnvkit_cnv_clinical,,,
tool_id:cox_model,Tool|tool_id,T044,senior-0811-tool-csv,整合基因表达矩阵与临床元数据，执行 Cox 比例风险回归分析和 Kaplan-Meier 生存曲线绘制。 支持自定义样本分组、生存时间/状态列映射，输出风险比、P 值及前 N 个显著基因。 适用于癌症预后标志物筛选和临床亚组生存差异分析场景。,"csv, tsv, txt, xls, xlsx","bulk_RNA, Clinical","csv, html, json, tsv, txt",cox_model,pipeline,cox_model,,,
tool_id:dataset_downstream,Tool|tool_id,T045,senior-0811-tool-csv,对单细胞RNA-seq数据集进行标准化下游分析，包括基因排序、细胞类型注释和恶性细胞标记。 输入为Seurat RDS文件和基因排序文件，输出包括压缩的结果文件、运行摘要和质量控制报告。,"csv, fasta, rds, tsv, txt",sc-RNA,"html, json, txt",dataset_downstream,pipeline,dataset_downstream,,,
tool_id:dataset_matrix_annotation,Tool|tool_id,T046,senior-0811-tool-csv,该流程用于对单细胞RNA-seq数据集进行矩阵注释和细胞类型标注。输入为Seurat RDS格式的整合数据文件，输出包括注释结果压缩包、运行摘要、输入质量控制报告和分析清单等文件。,"csv, fasta, rds, tsv, txt",sc-RNA,"html, json, txt",dataset_matrix_annotation,pipeline,dataset_matrix_annotation,,,
tool_id:de_enrichment,Tool|tool_id,T047,senior-0811-tool-csv,本流程整合 CNCB 元数据，执行差异表达分析并生成富集分析结果。支持自动样本分组、生存分析关联，输出火山图、热图及富集分析可视化。适用于具有临床元数据的 bulk RNA-seq 数据。,"csv, tsv, txt, xls, xlsx","bulk_RNA, Clinical","csv, html, json, tsv, txt",de_enrichment,pipeline,de_enrichment,,,
tool_id:deg_enrichment,Tool|tool_id,T048,senior-0811-tool-csv,本流程整合表达矩阵、样本元数据和临床信息，执行差异表达分析并生成火山图、热图及功能富集分析结果。 支持自动分组识别、生存分析关联，适用于批量 RNA-seq 数据的标准化差异表达与富集分析场景。,"csv, tsv, txt, xls, xlsx","bulk_RNA, Clinical","csv, html, json, tsv, txt",deg_enrichment,pipeline,deg_enrichment,,,
tool_id:deg_trend,Tool|tool_id,T049,senior-0811-tool-csv,本流程用于差异表达基因(DEG)的趋势分析与可视化。输入基因表达矩阵、样本元数据和临床信息，自动完成样本分组、差异分析，并生成火山图、热图、箱线图和趋势图等多种可视化结果。适用于批量 RNA-seq 数据的临床关联分析场景。,"csv, tsv, txt, xls, xlsx","bulk_RNA, Clinical","csv, html, json, pdf, png, tsv, txt",deg_trend,pipeline,deg_trend,,,
tool_id:gene_boxplot,Tool|tool_id,T050,senior-0811-tool-csv,基于基因表达矩阵和临床元数据生成箱线图、火山图、热图等可视化结果。支持从 CNCB 原生格式元数据自动映射样本分组信息，可整合生存分析和肿瘤分期数据。适用于 bulk RNA-seq 数据的探索性可视化分析。,"csv, tsv, txt, xls, xlsx","bulk_RNA, Clinical","csv, html, json, tsv, txt",gene_boxplot,pipeline,gene_boxplot,,,
tool_id:gsea_pathway_enrichment,Tool|tool_id,T051,senior-0811-tool-csv,本流程基于limma moderated t统计量构建全基因排序，使用fgseaMultilevel执行预排序GSEA。 输入为表达矩阵和样本元数据，输出包括通路富集结果、显著通路、排序基因列表及可视化图表。 适用于病例-对照转录组比较分析，支持协变量校正和配对设计。,"csv, tsv, txt",bulk_RNA,"csv, html, json, pdf, png, tsv, txt",gsea_pathway_enrichment,pipeline,gsea_pathway_enrichment,,,
tool_id:hvg_pca_gmm,Tool|tool_id,T052,senior-0811-tool-csv,从logCPM表达矩阵中筛选高变基因，执行PCA降维，并在候选K范围内拟合高斯混合模型（GMM），最终依据BIC选择最佳聚类数。输入为预处理后的logCPM矩阵，输出包括高变基因统计、PCA结果、GMM聚类指标及可视化图表。,,"sc-RNA, bulk_RNA","csv, html, json, pdf, png, tsv, txt",hvg_pca_gmm,pipeline,hvg_pca_gmm,,,
tool_id:immunotherapy_cellchat,Tool|tool_id,T053,senior-0811-tool-csv,基于CellChat的免疫治疗细胞通讯分析流程。输入Seurat格式的单细胞RNA-seq数据，通过比较响应者与非响应者之间的细胞通讯网络差异，揭示免疫治疗相关的细胞间相互作用机制。输出包括通讯网络分析结果、质控报告和运行日志。,"fasta, rds",sc-RNA,"html, json, pdf, png, txt",immunotherapy_cellchat,pipeline,immunotherapy_cellchat,,,
tool_id:ipf_trajectory_regulon,Tool|tool_id,T054,senior-0811-tool-csv,对特发性肺纤维化(IPF)单细胞RNA-seq数据进行轨迹推断和调控子分析。输入为Seurat RDS对象，输出包括分析结果压缩包、运行摘要、质控报告和文件清单等。,"fasta, rds, tsv, xls, xlsx","sc-RNA, bulk_RNA","html, json, txt",ipf_trajectory_regulon,pipeline,ipf_trajectory_regulon,,,
tool_id:km_survival,Tool|tool_id,T055,senior-0811-tool-csv,整合基因表达矩阵与临床元数据，执行 Kaplan-Meier 生存分析和 Cox 比例风险模型。 支持样本分组、肿瘤分期过滤和生存数据验证，输出生存曲线及统计结果。,"csv, tsv, txt, xls, xlsx","bulk_RNA, Clinical","csv, html, json, tsv, txt",km_survival,pipeline,km_survival,,,
tool_id:lung_tme_annotation_cnv,Tool|tool_id,T056,senior-0811-tool-csv,基于单细胞RNA-seq数据对肺癌肿瘤微环境进行细胞类型注释和拷贝数变异(CNV)分析。 输入为Seurat RDS文件和基因排序文件，输出包括压缩的结果包、运行摘要、质控报告和分析清单。,"csv, fasta, rds, tsv, txt",sc-RNA,"html, json, txt",lung_tme_annotation_cnv,pipeline,lung_tme_annotation_cnv,,,
tool_id:preprocess_counts,Tool|tool_id,T057,senior-0811-tool-csv,对RNA-seq原始count矩阵执行样本质量控制、低表达基因过滤和logCPM标准化。 输入为基因ID为第一列、其余列为样本count值的TSV矩阵，输出标准化后的logCPM矩阵及QC统计文件。,"csv, tsv, txt",bulk_RNA,"csv, html, json, tsv, txt",preprocess_counts,pipeline,preprocess_counts,,,
tool_id:rmats_alternative_splicing,Tool|tool_id,T058,senior-0811-tool-csv,比较两组 bulk RNA-seq 数据中的差异剪接事件，覆盖 skipped exon（SE）、mutually exclusive exon（MXE）、 alternative 5'/3' splice site（A5SS/A3SS）和 retained intron（RI），并为代表性事件生成 sashimi plot。 流程从已比对 BAM 开始，不包含 FASTQ 质控和比对。,"bam, fasta",bulk_RNA,"bam, csv, html, json, pdf, png, tsv, txt",rmats_alternative_splicing,pipeline,rmats_alternative_splicing,,,
tool_id:scrna_cell_communication,Tool|tool_id,T060,senior-0811-tool-csv,该流程整合 CellPhoneDB 和 NicheNet 进行单细胞转录组细胞通讯分析。输入为 Seurat RDS 对象或 h5ad 格式的表达矩阵及细胞元数据，输出包括样本级别的 CellPhoneDB 结果、差异通讯分析结果以及 NicheNet 配体-受体和配体-靶基因预测结果。支持 HRA000087 数据集的自动预处理模式。,"csv, rds, tsv, txt, xls, xlsx","sc-RNA, bulk_RNA","csv, html, json, pdf, png, rds, tsv, txt",scrna_cell_communication,pipeline,scrna_cell_communication,,,
tool_id:stage_heatmap,Tool|tool_id,T061,senior-0811-tool-csv,本流程用于生成基于肿瘤分期的基因表达热图可视化。整合表达矩阵、元数据文件和临床信息文件，自动匹配样本信息并筛选目标分期样本，输出分期热图及样本映射报告。适用于 CNCB 等公共数据库来源的 bulk RNA-seq 数据可视化分析。,"csv, tsv, txt, xls, xlsx","bulk_RNA, Clinical","csv, html, json, pdf, png, tsv, txt",stage_heatmap,pipeline,stage_heatmap,,,
tool_id:tcell_intervention,Tool|tool_id,T062,senior-0811-tool-csv,该流程用于对单细胞RNA-seq数据进行T细胞干预前后的比较分析。输入为Seurat RDS文件，通过指定细胞类型、时间点和患者信息等元数据列，进行差异表达分析，输出包括压缩的结果文件、运行摘要、质控报告和分析清单等。,"csv, fasta, rds, tsv, txt, xls, xlsx","sc-RNA, bulk_RNA","html, json, txt",tcell_intervention,pipeline,tcell_intervention,,,
tool_id:umap,Tool|tool_id,T063,senior-0811-tool-csv,基于基因表达矩阵进行 UMAP 降维可视化分析，整合 CNCB 元数据和临床信息。 支持自动样本分组、生存分析数据提取，输出降维结果及样本信息报告。,"csv, tsv, txt, xls, xlsx","bulk_RNA, Clinical","csv, html, json, pdf, png, tsv, txt",umap,pipeline,umap,,,
tool_id:wes_somatic_pair,Tool|tool_id,T064,senior-0811-tool-csv,用于单个病人配对 tumor-normal WES 数据的体细胞变异分析流程。包含 FASTQ 质控、BWA 比对、Mutect2 变异检测、SnpEff 注释及 MultiQC 汇总报告。 输出包括过滤后的 VCF 文件、BAM 文件及完整的质控报告。,"fasta, fq.gz, interval_list, vcf","WGS, WES","bam, html, json, tbi, txt, vcf",wes_somatic_pair,pipeline,wes_somatic_pair,,,
tool_id:wgcna_hub,Tool|tool_id,T065,senior-0811-tool-csv,基于 WGCNA 算法构建基因共表达网络，识别与表型性状相关的关键模块和 Hub 基因。 支持从 CNCB 等平台的原始元数据自动解析样本分组和临床信息，输出模块 - 性状关联、候选 Hub 基因列表及功能富集结果。,"csv, tsv, txt, xls, xlsx","bulk_RNA, Clinical","csv, html, json, tsv, txt",wgcna_hub,pipeline,wgcna_hub,,,
tool_id:wgcna_module_trait,Tool|tool_id,T066,senior-0811-tool-csv,基于 WGCNA 算法构建基因共表达网络，识别功能模块并分析与临床性状的关联关系。 支持 GO/KEGG/Hallmark 富集分析、生存分析和 hub 基因筛选，适用于批量 RNA-seq 数据的系统生物学研究。,"csv, tsv, txt, xls, xlsx","bulk_RNA, Clinical","csv, html, json, tsv, txt",wgcna_module_trait,pipeline,wgcna_module_trait,,,
